Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações,CNPJ,Código CVM,Ticker,Atividade Principal,Setor Econômico,Subsetor Econômico,Segmento Econômico,Site,Url
EZTEC,EZTC,EZ TEC EMPREEND. E PARTICIPACOES S.A.,NOVO MERCADO,Homologado,2888996908.17,12/05/2022,220989103,0,220989103,08.312.229/0001-73,20770,EZTC3.SA,(a) Incorporação e comercialização de empreendimentos imobiliários de qualquer natureza. (b) administração e locação de imóveis prórpios. (c) loteamento de terrenos. (d) construção de condomínios ...,Consumo Cíclico,Construção Civil,Incorporações,www.eztec.com.br/ri,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20770/EZTC/overview?language=pt-br
GAFISA,GFSA,GAFISA S.A.,NOVO MERCADO,Homologado,1248574113.49,23/09/2021,337445727,0,337445727,01.545.826/0001-07,16101,GFSA3.SA,,Consumo Cíclico,Construção Civil,Incorporações,www.gafisa.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/16101/GFSA/overview?language=pt-br
GRENDENE,GRND,GRENDENE S.A.,NOVO MERCADO,Homologado,1231301604.46,23/04/2018,902160000,0,902160000,89.850.341/0001-60,19615,GRND3.SA,Fabricação de calçados em geral,Consumo Cíclico,Tecidos. Vestuário e Calçados,Calçados,www.grendene.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19615/GRND/overview?language=pt-br
GUARARAPES,GUAR,GUARARAPES CONFECCOES S.A.,NOVO MERCADO,Homologado,3100000000.0,30/04/2019,499200000,0,499200000,08.402.943/0001-52,4669,GUAR3.SA,Confecções de roupas e tecidos em geral.,Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,www.guararapes.ind.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/4669/GUAR/overview?language=pt-br
HELBOR,HBOR,HELBOR EMPREENDIMENTOS S.A.,NOVO MERCADO,Homologado,1310225371.46,10/07/2020,133851072,0,133851072,49.263.189/0001-02,20877,HBOR3.SA,Incorporação de Imoveis,Consumo Cíclico,Construção Civil,Incorporações,http://www.helbor.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20877/HBOR/overview?language=pt-br
IMC S/A,MEAL,INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A.,NOVO MERCADO,Homologado,1170478915.19,21/07/2020,286369530,0,286369530,17.314.329/0001-20,23574,MEAL3.SA,Setor de Varejo de Alimentação,Consumo Cíclico,Hoteis e Restaurantes,Restaurante e Similares,www.internationalmealcompany.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/23574/MEAL/overview?language=pt-br
IOCHP-MAXION,MYPK,IOCHPE MAXION S.A.,NOVO MERCADO,Homologado,1576954290.05,24/06/2019,153719601,0,153719601,61.156.113/0001-75,11932,MYPK3.SA,Fabricação e comercialização de produtos do setor automotivo e equipamentos ferroviários.,Consumo Cíclico,Automóveis e Motocicletas,Automóveis e Motocicletas,www.iochpe.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/11932/MYPK/overview?language=pt-br
JHSF PART,JHSF,JHSF PARTICIPACOES S.A.,NOVO MERCADO,Homologado,1865949654.57,16/05/2022,679328541,0,679328541,08.294.224/0001-65,20605,JHSF3.SA,Empresa que investe no Brasil em negócios voltados a atender o público de alta renda. focada no desenvolvimento e administração de projetos de shopping centers. hotéis e e restaurantes e incorporação.,Consumo Cíclico,Construção Civil,Incorporações,http://ri.jhsf.com.br/,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/20605/JHSF/overview?language=pt-br
LOCALIZA,RENT,LOCALIZA RENT A CAR S.A.,NOVO MERCADO,Homologado,4000000000.0,12/12/2019,758466670,0,758466670,16.670.085/0001-55,19739,RENT3.SA,Aluguel de carros e gestão de frotas,Consumo Cíclico,Diversos,Aluguel de carros,www.localiza.com,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/19739/RENT/overview?language=pt-br
LOJAS RENNER,LREN,LOJAS RENNER S.A.,NOVO MERCADO,Homologado,8987760068.78,19/05/2022,989304070,0,989304070,92.754.738/0001-62,8133,LREN3.SA,Loja de Departamentos (Comércio Varejista),Consumo Cíclico,Comércio,Tecidos. Vestuário e Calçados,www.lojasrenner.com.br,https://sistemaswebb3-listados.b3.com.br/listedCompaniesPage/main/8133/LREN/overview?language=pt-br
